Au_20_um	x_px_no_limit	x_px_no_limit	x_px_no_limit	x_px_1.5	x_px_1.5	x_px_1.5	x_px_3	x_px_3	x_px_3	x_ps_4.5	x_ps_4.5	x_ps_4.5
I(A)	mu_p(MeV/c)	sigma_p(MeV/c)	sigma_p/mu_p	mu_p(MeV/c)	sigma_p(MeV/c)	sigma_p/mu_p	mu_p(MeV/c)	sigma_p(MeV/c)	sigma_p/mu_p	mu_p(MeV/c)	sigma_p(MeV/c)	sigma_p/mu_p
25	61.75	5.44	8.81	62.55	4.58	7.33	62.45	4.68	7.49	62.42	4.80	7.69
50	127.49	4.78	3.75	128.28	4.49	3.50	128.26	4.39	3.43	128.21	4.36	3.40
75	193.07	4.97	2.57	193.82	4.53	2.34	193.90	4.42	2.28	193.97	4.41	2.28
100	258.80	5.14	1.99	259.57	4.53	1.74	259.61	4.53	1.75	259.58	4.57	1.76
125	324.17	5.40	1.67	325.25	4.65	1.43	325.21	4.68	1.44	325.20	4.66	1.43
150	389.41	5.72	1.47	390.67	4.66	1.19	390.69	4.65	1.19	390.62	4.74	1.21
175	454.43	6.02	1.33	455.73	4.83	1.06	455.74	4.86	1.07	455.73	4.87	1.07
200	519.11	6.31	1.22	520.58	4.77	0.92	520.56	4.82	0.93	520.57	4.83	0.93
225	583.17	6.67	1.14	584.80	4.84	0.83	584.76	4.85	0.83	584.75	4.91	0.84
230	595.79	6.80	1.14	597.45	4.85	0.81	597.47	4.89	0.82	597.44	5.01	0.84
250	646.20	7.03	1.09	647.98	4.93	0.76	648.00	4.93	0.76	647.98	4.99	0.77
275	707.88	7.38	1.04	709.72	5.09	0.72	709.77	4.98	0.70	709.73	4.98	0.70
300	767.48	7.80	1.02	769.43	5.12	0.67	769.47	5.11	0.66	769.48	5.16	0.67
325	824.60	8.14	0.99	826.79	5.02	0.61	826.73	5.12	0.62	826.70	5.16	0.62
350	878.71	8.47	0.96	880.95	5.17	0.59	880.91	5.22	0.59	880.92	5.24	0.59
375	927.99	8.85	0.95	930.32	5.01	0.54	930.35	5.12	0.55	930.31	5.18	0.56
400	970.81	9.03	0.93	973.09	5.24	0.54	973.10	5.27	0.54	973.05	5.34	0.55
425	1009.81	9.33	0.92	1012.16	5.13	0.51	1012.05	5.27	0.52	1012.03	5.31	0.52
450	1046.17	9.59	0.92	1048.34	5.32	0.51	1048.31	5.33	0.51	1048.31	5.40	0.51
475	1081.10	9.76	0.90	1083.22	5.30	0.49	1083.23	5.36	0.50	1083.23	5.45	0.50
500	1114.63	9.96	0.89	1117.01	5.31	0.48	1116.98	5.35	0.48	1116.96	5.40	0.48
