    hitsetkey	        alpha         beta        gamma            x            y            z
     16982528	     -0.26253     +0.00110     -0.00059    -21.27081    -75.85949    -70.28777
     16998912	     -0.26384     +0.00110     -0.00090    -21.46096    -75.90736   -186.45825
     17015296	     -0.26068     +0.00089     -0.00081    -21.09835    -75.76660    +60.76268
     17031680	     -0.26244     +0.00093     -0.00038    -20.93735    -75.73496   +176.94476
     16981504	     -0.78478     +0.00077     +0.00033    -54.99117    -56.22769    -70.25475
     16997888	     -0.78815     +0.00048     -0.00179    -55.11142    -56.18837   -186.41177
     17014272	     -0.78370     +0.00022     -0.00023    -54.93090    -56.24875    +60.85369
     17030656	     -0.78374     +0.00037     +0.00045    -54.88777    -56.29958   +177.04160
     16980480	     -1.30229     +0.00030     +0.00063    -74.29693    -22.51740    -70.38355
     16996864	     -1.30314     +0.00031     -0.00058    -74.28391    -22.54561   -186.54303
     17013248	     -1.30448     +0.00013     -0.00053    -74.28084    -22.47108    +60.73021
     17029632	     -1.30672     +0.00010     -0.00023    -74.27625    -22.43234   +176.90217
     16979456	     +1.31524     -0.00049     +0.00070    -74.27946    +16.66439    -70.22052
     16995840	     +1.31438     -0.00048     -0.00052    -74.27526    +16.63011   -186.38000
     17012224	     +1.31304     -0.00065     -0.00047    -74.25030    +16.70021    +60.89324
     17028608	     +1.31080     -0.00069     -0.00016    -74.23399    +16.73480   +177.06520
     16978432	     +0.79824     -0.00073     +0.00065    -55.25404    +50.14665    -70.34780
     16994816	     +0.80029     -0.00063     -0.00044    -55.28476    +50.09862   -186.51888
     17011200	     +0.80003     -0.00091     +0.00006    -55.21795    +50.23178    +60.71648
     17027584	     +0.80039     -0.00074     +0.00041    -55.17332    +50.30207   +176.90786
     16977408	     +0.27603     -0.00010     +0.00034    -21.28279    +69.72589    -70.51379
     16993792	     +0.27082     -0.00147     +0.00059    -21.29183    +69.67282   -186.67248
     17010176	     +0.27111     -0.00042     +0.00023    -21.27133    +69.75546    +60.56596
     17026560	     +0.27079     -0.00015     +0.00064    -21.28276    +69.80061   +176.76246
     16976384	     -0.25678     +0.00030     -0.00051    +21.89138    +69.91976    -70.13015
     16992768	     -0.25736     +0.00002     -0.00194    +21.88624    +70.05464   -186.30953
     17009152	     -0.25808     +0.00061     -0.00038    +21.89082    +69.86955    +60.96125
     17025536	     -0.25937     +0.00054     +0.00110    +21.90593    +69.90718   +177.13743
     16975360	     -0.78426     -0.00134     -0.00026    +55.65176    +50.53402    -70.08640
     16991744	     -0.78393     -0.00159     -0.00053    +55.62919    +50.62060   -186.26212
     17008128	     -0.78378     -0.00138     -0.00010    +55.70862    +50.46448    +61.06213
     17024512	     -0.78167     -0.00151     +0.00003    +55.76772    +50.40699   +177.22448
     16974336	     -1.30610     -0.00132     -0.00038    +74.93740    +16.82968    -70.05042
     16990720	     -1.30531     -0.00120     +0.00030    +74.91651    +16.92973   -186.22260
     17007104	     -1.30606     -0.00110     -0.00018    +74.92557    +16.70118    +61.06111
     17023488	     -1.30589     -0.00093     +0.00017    +74.94429    +16.59815   +177.21903
     16985600	     +1.31327     -0.00147     +0.00008    +75.08738    -21.92866    -70.19528
     17001984	     +1.31406     -0.00134     +0.00076    +75.05231    -21.87484   -186.36750
     17018368	     +1.31331     -0.00124     +0.00028    +75.08849    -21.98524    +60.91631
     17034752	     +1.31348     -0.00107     +0.00063    +75.12018    -22.04056   +177.07426
     16984576	     +0.78986     +0.00610     +0.00179    +55.78504    -55.81916    -70.30016
     17000960	     +0.79025     +0.00020     +0.00113    +55.65433    -55.67402   -186.40741
     17017344	     +0.79458     -0.00061     +0.00048    +55.85839    -55.95200    +60.83648
     17033728	     +0.79533     -0.00014     +0.00089    +55.87957    -56.05502   +177.00937
     16983552	     +0.26892     +0.00059     +0.00217    +22.15889    -75.25455    -70.21936
     16999936	     +0.26877     +0.00061     +0.00225    +22.03765    -75.04037   -186.39202
     17016320	     +0.26870     +0.00091     +0.00181    +22.32269    -75.47184    +60.92185
     17032704	     +0.27015     +0.00070     +0.00114    +22.45501    -75.61977   +177.08779
     17049088	     -0.00061     -0.00086     -0.00077     -1.84255    -84.31496    -70.36528
     17065472	     -0.00218     -0.00092     -0.00106     -1.95208    -84.45033   -186.51473
     17081856	     +0.00215     -0.00045     -0.00103     -1.69462    -84.19993    +60.77429
     17098240	     +0.00604     -0.00055     -0.00042     -1.53247    -84.12058   +176.94317
     17048064	     -0.52220     +0.00110     -0.00055    -42.43036    -73.48487    -70.36559
     17064448	     -0.51881     +0.00112     +0.00033    -42.53011    -73.45485   -186.53972
     17080832	     -0.52278     +0.00072     -0.00122    -42.28488    -73.42286    +60.73594
     17097216	     -0.52303     +0.00098     -0.00081    -42.16154    -73.34866   +176.92016
     17047040	     -1.04628     +0.00094     -0.00025    -72.13182    -43.70231    -70.43185
     17063424	     -1.04410     +0.00094     -0.00090    -72.16084    -43.72407   -186.59712
     17079808	     -1.04598     +0.00084     -0.00111    -72.05560    -43.68487    +60.66971
     17096192	     -1.04477     +0.00084     -0.00078    -71.96233    -43.62091   +176.82316
     17046016	     -1.56808     -0.00075     -0.00008    -82.93924     -3.08710    -70.41594
     17062400	     -1.56590     -0.00075     -0.00073    -82.95509     -3.14924   -186.58119
     17078784	     -1.56777     -0.00084     -0.00094    -82.88723     -3.04479    +60.68563
     17095168	     -1.56657     -0.00085     -0.00061    -82.79465     -2.97809   +176.83906
     17044992	     +1.04962     -0.00091     +0.00002    -72.22354    +37.62633    -70.27261
     17061376	     +1.05180     -0.00091     -0.00064    -72.23989    +37.60837   -186.43786
     17077760	     +1.04993     -0.00100     -0.00084    -72.18946    +37.60543    +60.82898
     17094144	     +1.05113     -0.00100     -0.00052    -72.10439    +37.58895   +176.98242
     17043968	     +0.53175     -0.00055     -0.00013    -42.35530    +67.16355    -70.34138
     17060352	     +0.52987     -0.00042     -0.00267    -42.44876    +67.26436   -186.50203
     17076736	     +0.53525     +0.00013     +0.00059    -42.29123    +67.21114    +60.84103
     17093120	     +0.53806     +0.00570     +0.00285    -42.35604    +67.36208   +176.94702
     17042944	     -0.01385     +0.00031     -0.00036     +2.47394    +78.63412    -70.00043
     17059328	     -0.01209     +0.00035     -0.00114     +2.51679    +78.71859   -186.15179
     17075712	     -0.01188     -0.00020     -0.00092     +2.49881    +78.54725    +61.12371
     17092096	     -0.01191     -0.00030     +0.00055     +2.52775    +78.51226   +177.30788
     17041920	     -0.52376     +0.00077     -0.00003    +42.88463    +67.64802    -70.05455
     17058304	     -0.52199     +0.00081     -0.00080    +42.93029    +67.67477   -186.20591
     17074688	     -0.52179     +0.00026     -0.00059    +42.90116    +67.58951    +61.06962
     17091072	     -0.52181     +0.00016     +0.00088    +42.94232    +67.57092   +177.25381
     17040896	     -1.04356     -0.00098     +0.00102    +72.68445    +37.94249    -70.15530
     17057280	     -1.04294     -0.00137     +0.00038    +72.59790    +37.94146   -186.34714
     17073664	     -1.04026     -0.00086     -0.00117    +72.68698    +37.86460    +61.00334
     17090048	     -1.03549     -0.00124     +0.00005    +72.63908    +37.78924   +177.16866
     17039872	     -1.56271     -0.00093     +0.00037    +83.58919     -2.53128    -70.07573
     17056256	     -1.56356     -0.00074     +0.00024    +83.58400     -2.40400   -186.27173
     17072640	     -1.56180     -0.00049     +0.00007    +83.60041     -2.66438    +61.00668
     17089024	     -1.56296     -0.00053     +0.00166    +83.66496     -2.74754   +177.18571
     17051136	     +1.05090     -0.00028     +0.00044    +72.81971    -43.05091    -70.52520
     17067520	     +1.05152     -0.00031     +0.00066    +72.79182    -43.00581   -186.68064
     17083904	     +1.05040     -0.00007     +0.00026    +72.86762    -43.05563    +60.58051
     17100288	     +1.04817     -0.00032     +0.00071    +72.92623    -43.09612   +176.75880
     17050112	     +0.52592     -0.00046     +0.00125    +43.20354    -72.91023    -70.61329
     17066496	     +0.52701     -0.00033     +0.00052    +43.10364    -72.82611   -186.80386
     17082880	     +0.52547     -0.00049     +0.00090    +43.32445    -73.05051    +60.47286
     17099264	     +0.52414     -0.00031     +0.00061    +43.40905    -73.11505   +176.65770
     17116672	     -0.19543     +0.00109     -0.00096    -21.14492   -101.53230    -70.36973
     17133056	     -0.19496     +0.00110     -0.00173    -21.31346   -101.64604   -186.51027
     17149440	     -0.19378     +0.00111     -0.00148    -20.97027   -101.41109    +60.69307
     17165824	     -0.18867     +0.00106     -0.00106    -20.82223   -101.31279   +176.83757
     17115648	     -0.58853     +0.00158     -0.00101    -57.39376    -86.29347    -70.44535
     17132032	     -0.58817     +0.00159     -0.00150    -57.58322    -86.34445   -186.62993
     17148416	     -0.58872     +0.00160     -0.00137    -57.14001    -86.26833    +60.70491
     17164800	     -0.58620     +0.00177     -0.00036    -56.97586    -86.25894   +176.87811
     17114624	     -0.98253     +0.00055     -0.00035    -84.91271    -58.61469    -70.33310
     17131008	     -0.98211     +0.00062     -0.00130    -85.04187    -58.59704   -186.50213
     17147392	     -0.98156     +0.00036     -0.00075    -84.77764    -58.61702    +60.79914
     17163776	     -0.98097     +0.00031     +0.00082    -84.75293    -58.66177   +176.94925
     17113600	     -1.37149     +0.00084     +0.00018    -99.80556    -22.64326    -70.27719
     17129984	     -1.37107     +0.00092     -0.00077    -99.84728    -22.61833   -186.44627
     17146368	     -1.37053     +0.00066     -0.00022    -99.76172    -22.65105    +60.85511
     17162752	     -1.36994     +0.00060     +0.00135    -99.82692    -22.66145   +177.00522
     17112576	     +1.37866     +0.00034     +0.00014    -99.75378    +16.47680    -70.27999
     17128960	     +1.37973     +0.00044     -0.00072    -99.77396    +16.49293   -186.44483
     17145344	     +1.37781     +0.00043     +0.00009    -99.72613    +16.44188    +60.82214
     17161728	     +1.37966     +0.00041     +0.00061    -99.78156    +16.44483   +176.99681
     17111552	     +0.97959     -0.00076     -0.00027    -84.77958    +52.48763    -70.46140
     17127936	     +0.97880     +0.00454     -0.00242    -84.90474    +52.57002   -186.58461
     17144320	     +0.98161     +0.00014     -0.00087    -84.77277    +52.42436    +60.79681
     17160704	     +0.98621     +0.00009     +0.00141    -84.84212    +52.35377   +176.96885
     17110528	     +0.59358     -0.00069     -0.00008    -57.62461    +80.22722    -70.33770
     17126912	     +0.59268     -0.00064     +0.00051    -57.61532    +80.21115   -186.49224
     17143296	     +0.59465     -0.00078     -0.00029    -57.62553    +80.24353    +60.79062
     17159680	     +0.59756     -0.00100     -0.00001    -57.59483    +80.23399   +176.95293
     17109504	     +0.20104     +0.00043     +0.00072    -21.41159    +95.27233    -70.15676
     17125888	     +0.20298     +0.00024     +0.00083    -21.37688    +95.16837   -186.31552
     17142272	     +0.20054     +0.00031     +0.00066    -21.45145    +95.34204    +60.99350
     17158656	     +0.19998     +0.00044     +0.00040    -21.48708    +95.41187   +177.15619
     17108480	     -0.19066     +0.00032     -0.00024    +21.99706    +95.25332    -69.93967
     17124864	     -0.18748     +0.00010     -0.00003    +22.02317    +95.28014   -186.09862
     17141248	     -0.19233     +0.00019     -0.00020    +21.96093    +95.21907    +61.20163
     17157632	     -0.19447     -0.00013     -0.00081    +21.94658    +95.14997   +177.36644
     17107456	     -0.58787     -0.00092     -0.00017    +58.17575    +80.21758    -70.08444
     17123840	     -0.58648     -0.00117     -0.00062    +58.19153    +80.27542   -186.24009
     17140224	     -0.58660     -0.00082     -0.00059    +58.11993    +80.17801    +61.06602
     17156608	     -0.58674     -0.00078     -0.00028    +58.10190    +80.14356   +177.24888
     17106432	     -0.98012     -0.00052     +0.00048    +85.70255    +52.71309    -70.11267
     17122816	     -0.97829     -0.00041     -0.00006    +85.65315    +52.73570   -186.26937
     17139200	     -0.98133     -0.00062     -0.00083    +85.74382    +52.65391    +61.03436
     17155584	     -0.97798     -0.00073     -0.00031    +85.75733    +52.57220   +177.19663
     17105408	     -1.37279     -0.00070     +0.00048   +100.57866    +16.62319    -70.11616
     17121792	     -1.37224     -0.00058     -0.00063   +100.52747    +16.68818   -186.31658
     17138176	     -1.37147     -0.00082     +0.00006   +100.62122    +16.51989    +60.94973
     17154560	     -1.36920     -0.00080     +0.00052   +100.67639    +16.43252   +177.10973
     17120768	     +1.37992     -0.00057     +0.00101   +100.53841    -22.07004    -70.08865
     17137152	     +1.37942     -0.00064     +0.00054   +100.46573    -21.98187   -186.22751
     17153536	     +1.37828     -0.00049     +0.00060   +100.61597    -22.15861    +61.03647
     17169920	     +1.38120     -0.00056     +0.00119   +100.69915    -22.25001   +177.22211
     17119744	     +0.98383     +0.00032     +0.00131    +85.73402    -58.23983    -70.32541
     17136128	     +0.98354     +0.00032     +0.00109    +85.62499    -58.16364   -186.48135
     17152512	     +0.98329     +0.00034     +0.00028    +85.86543    -58.30279    +60.82791
     17168896	     +0.98544     +0.00037     +0.00117    +85.95269    -58.36389   +176.99758
     17118720	     +0.59651     -0.00055     +0.00083    +58.14434    -86.03145    -70.50248
     17135104	     +0.59753     -0.00054     +0.00148    +58.02216    -85.95094   -186.66940
     17151488	     +0.59470     -0.00045     +0.00132    +58.27839    -86.14971    +60.66861
     17167872	     +0.59357     -0.00039     +0.00186    +58.42490    -86.23941   +176.81780
     17117696	     +0.19863     +0.00030     +0.00238    +22.01498   -101.10377    -70.81608
     17134080	     +0.19973     +0.00023     +0.00322    +21.76647   -100.85590   -186.96303
     17150464	     +0.19847     -0.00008     +0.00171    +22.25115   -101.33824    +60.40221
     17166848	     +0.20184     -0.00024     +0.00126    +22.41794   -101.50230   +176.56126
     17183232	     +0.01275     +0.00073     -0.00001     -1.59525   -109.52713    -70.43484
     17199616	     +0.01453     +0.00047     -0.00021     -1.73438   -109.56383   -186.59201
     17216000	     +0.01127     +0.00058     -0.00105     -1.42646   -109.41313    +60.87206
     17232384	     +0.01591     +0.00084     +0.00031     -1.28654   -109.32330   +177.01143
     17182208	     -0.38725     +0.00127     -0.00045    -42.46253   -101.50482    -70.24108
     17198592	     -0.38568     +0.00111     +0.00056    -42.59149   -101.46510   -186.39572
     17214976	     -0.38733     +0.00114     -0.00068    -42.33265   -101.45798    +60.90304
     17231360	     -0.38703     +0.00114     -0.00029    -42.19625   -101.44512   +177.04082
     17181184	     -0.78389     +0.00046     -0.00038    -77.11044    -78.34457    -70.48552
     17197568	     -0.78268     +0.00033     -0.00052    -77.22727    -78.31667   -186.66397
     17213952	     -0.78391     -0.00004     -0.00057    -76.99278    -78.37151    +60.62437
     17230336	     -0.78608     +0.00013     -0.00016    -76.91841    -78.38795   +176.82499
     17180160	     -1.17295     +0.00084     -0.00016   -100.07918    -43.77801    -70.51992
     17196544	     -1.17174     +0.00071     -0.00030   -100.13177    -43.74884   -186.69841
     17212928	     -1.17297     +0.00034     -0.00034   -100.03123    -43.80135    +60.59001
     17229312	     -1.17514     +0.00051     +0.00006   -100.01358    -43.80381   +176.79067
     17179136	     -1.56918     +0.00018     -0.00009   -108.21531     -3.20241    -70.48805
     17195520	     -1.57008     +0.00021     -0.00027   -108.23473     -3.11344   -186.64693
     17211904	     -1.56847     -0.00004     +0.00020   -108.23146     -3.27537    +60.59861
     17228288	     -1.56839     +0.00003     -0.00057   -108.21333     -3.34834   +176.77938
     17178112	     +1.18521     +0.00026     +0.00037    -99.99303    +37.58921    -70.48780
     17194496	     +1.18513     +0.00015     +0.00112    -99.90249    +37.60892   -186.65352
     17210880	     +1.18448     +0.00026     -0.00084    -99.99269    +37.51890    +60.69658
     17227264	     +1.18320     +0.00034     -0.00123    -99.91197    +37.41522   +176.86648
     17177088	     +0.79310     +0.00112     -0.00009    -77.10076    +72.24821    -70.73011
     17193472	     +0.79233     +0.00117     -0.00008    -77.06972    +72.28864   -186.87488
     17209856	     +0.79662     +0.00101     -0.00024    -77.15255    +72.23999    +60.46665
     17226240	     +0.79829     +0.00107     -0.00145    -77.12335    +72.15061   +176.63674
     17176064	     +0.39710     +0.00122     +0.00117    -42.54071    +95.09700    -70.49489
     17192448	     +0.40179     +0.00121     -0.00044    -42.46450    +95.04719   -186.68002
     17208832	     +0.39773     +0.00109     +0.00016    -42.57136    +95.03682    +60.63017
     17225216	     +0.39883     +0.00114     +0.00066    -42.61621    +95.06090   +176.78726
     17175040	     +0.01562     +0.00237     +0.00018     +2.59687   +103.53613    -69.91451
     17191424	     +0.01651     +0.00224     +0.00018     +2.69826   +103.51905   -186.06322
     17207808	     +0.01145     +0.00220     -0.00008     +2.48373   +103.55392    +61.27315
     17224192	     +0.00680     +0.00230     -0.00006     +2.38756   +103.54616   +177.44463
     17174016	     -0.39858     -0.00014     -0.00101    +43.36184    +95.55331    -70.00799
     17190400	     -0.39829     -0.00037     -0.00196    +43.41251    +95.69813   -186.15630
     17206784	     -0.39768     +0.00028     -0.00115    +43.27477    +95.40922    +61.16943
     17223168	     -0.39734     -0.00011     -0.00009    +43.23616    +95.35341   +177.34349
     17172992	     -0.78726     -0.00134     -0.00046    +77.84739    +72.38458    -70.20152
     17189376	     -0.78889     -0.00148     -0.00137    +77.88536    +72.49284   -186.36923
